0,1,2,3,ID,condition
"(1.8619313647244553, 1.229957193644168)","(2644.3715446564615, 5.55485017775527)","(6.18682434883533, 1977.706050932308)","(2644.3715446564615, 1977.706050932308)",AD01_d01_apr19,search
"(18.09014728288446, 12.923202495827809)","(2651.6641152143943, 14.382246245374517)","(7.8768410360587495, 1987.0093956323008)","(2653.123158963941, 1994.3046143800336)",AD01_d02_apr05,search
"(12.796089385474602, 2.6955307262574024)","(2647.656424581006, 17.220670391061958)","(4.081005586591914, 1976.6620111731847)","(2641.8463687150843, 1989.7346368715087)",AD01_d03_apr01,search
"(19.687622433431784, 8.447108757164642)","(2661.9708699122107, 15.662519045200497)","(8.142965972574302, 1973.9248712181675)","(2648.9831313937457, 1978.254117390989)",AD01_d04_apr04,search
"(28.473554378582094, 16.158202133062332)","(2644.7036929550904, 35.493615323224276)","(19.549517521584335, 1998.7817238627295)","(2662.5517666690857, 2019.6044765290576)",AD01_d05_apr30,search
"(31.623158963940796, 4.187513603715161)","(2659.5604730465066, 14.441449611841108)","(24.298918958136596, 1978.8026191685415)","(2665.4198650511507, 2011.0292751940801)",AD01_d06_apr22,search
"(9.631393745918672, 12.989951389393354)","(2650.436008125952, 21.78774577377999)","(6.698795617789756, 2008.6229775810784)","(2638.7056156134367, 1998.3588841326275)",AD01_d07_apr23,search
"(13.439526953493214, 14.441449611841108)","(2664.814409054634, 24.695385619967055)","(6.115286947689015, 1987.5917071755066)","(2642.841689037221, 2009.5644271929193)",AD01_d08_apr13,search
"(27.42331132554557, -0.2044184865412717)","(2665.488318943626, 27.875825292026548)","(18.555865921787245, 1980.1917216861355)","(2638.8859827323513, 2005.3161503301171)",AD01_d09_apr21,search
"(34.828919683668005, 16.133824276282667)","(2666.537546252631, 45.83708191250116)","(22.94761662918063, 2001.7965972574916)","(2650.2007545527104, 2025.5592033664664)",AD01_d10_apr16,search
"(25.619023434665678, 19.056264964086495)","(2664.23325836175, 35.353152434158346)","(22.655952985561726, 2001.3503954146418)","(2659.788652688094, 2011.7211419865055)",AD01_d11_apr10,search
"(25.207139229485506, 13.016650946818572)","(2650.6696655300016, 15.955053326561483)","(16.39193209025609, 1992.0306537038382)","(2652.138866719873, 1992.0306537038382)",AD02_d01_apr22,search
"(11.360226365812537, 5.64017267648569)","(2669.177827758833, 20.259631430022637)","(20.131901617934773, 1976.3432126532687)","(2660.406152506711, 1992.4246172821593)",AD02_d02_apr13,search
"(17.480700863382253, 4.15268809402869)","(2652.065334107234, 9.968548211564666)","(17.480700863382253, 1974.2753029093813)","(2652.065334107234, 1988.8149532032216)",AD02_d03_apr10,search
"(15.843067546977863, 17.459660451280797)","(2664.156932453022, 18.931763766959648)","(14.370964231299126, 1981.2454835667127)","(2655.324312558949, 1991.550206776464)",AD02_d04_apr21,search
"(36.09907131974148, 14.737466444169968)","(2669.7905753464415, 20.7129434810995)","(22.65424798664992, 1988.1387578901545)","(2659.3334905318147, 2001.583581223246)",AD02_d06_apr01,search
"(40.2961256620473, 15.97130523108217)","(2677.175614887906, 10.088696219981557)","(16.76568961764474, 1966.056192410941)","(2665.4103968657046, 1993.9985852136692)",AD02_d07_apr23,search
"(40.95291300877875, 5.734636871508428)","(2677.313647246609, 30.970071827613992)","(39.46847565841961, 1978.5518754988032)","(2672.8603351955317, 1993.3962490023946)",AD02_d08_apr06,search
"(6.4672785315239025, 5.646267140680266)","(2644.971958209389, 26.133824276281757)","(16.711057099324876, 1997.3295001088297)","(2630.337988826816, 2003.183087861859)",AD02_d11_apr26,search
"(20.263658129579653, 7.075709206994361)","(2655.73634187042, 18.730646448523657)","(15.893056664006053, 1978.2169701806574)","(2654.279474715229, 1992.7856417325693)",AD02_d13_apr16,search
"(24.319959370238394, 16.06069070594185)","(2678.46637161721, 29.36838859464524)","(12.490894580279814, 1987.0786113328013)","(2672.5518392222302, 2001.8649423202496)",AD03_d01_apr05,search
"(41.560872088804445, 27.375063484002112)","(2703.476275121526, 90.1705361677432)","(20.11851556264901, 2015.3878328375538)","(2674.3759341217437, 2061.3357396793153)",AD03_d02_apr01,search
"(5.046615395777167, 22.29503736487004)","(2689.4621998113616, 23.794710875716646)","(45.5378001886379, 2024.3591743452082)","(2675.9651382137417, 2004.8634187042012)",AD03_d03_apr22,search
"(42.024341580207306, 16.48324022346378)","(2704.7537909018356, 42.2613727055068)","(26.86073423782898, 2008.9812450119714)","(2677.4592976855547, 2043.8575418994415)",AD03_d04_apr13,search
"(50.25088877602809, 8.856453602263628)","(2712.312849162011, 39.03856199666234)","(17.050569542189237, 1996.348291373431)","(2694.203584125372, 2035.5850322861497)",AD03_d05_apr06,search
"(47.974134803743596, 23.98276862802004)","(2704.80791554814, 54.2084089095265)","(38.906442719291704, 2024.920155263731)","(2682.1386853370104, 2037.0104113763334)",AD03_d07_apr30,search
"(15.918486541390962, 16.3857287963433)","(2667.8825001813825, 2.81683958499616)","(20.441449611840085, 2030.6119495030111)","(2679.9437350359135, 2044.1808387143583)",AD03_d08_apr04,search
"(43.45646811289237, 19.26695929768539)","(2723.975948632374, 52.211891460494826)","(23.989008198505076, 2004.947870565189)","(2676.0560473046517, 2033.4003119785243)",AD03_d09_apr23,search
"(43.19103243125562, 29.676159036494028)","(2702.2783138649065, 49.096459406514896)","(28.25233983893179, 1995.6081041863165)","(2690.3273597910475, 2046.3996590002178)",AD03_d10_apr19,search
"(36.54980773416503, 20.609918014946288)","(2679.749401436552, 29.529601683233068)","(38.03642167887949, 1993.3466226510923)","(2670.8297177682653, 1999.2930784299504)",AD04_d01_apr21,search
"(39.33729957193634, 21.93111078865286)","(2661.7112384821885, 11.600993978089264)","(42.288761517811736, 1989.0804977145763)","(2664.6627004280635, 1993.5076906333893)",AD04_d02_apr01,search
"(24.647754480156664, 14.448850032648807)","(2646.5588043241682, 7.120982369585818)","(21.71660741493133, 1970.9895160705219)","(2653.8866719872317, 1984.1796778640355)",AD04_d03_apr13,search
"(25.948523543495185, 14.478451715881874)","(2655.9884277733445, 8.604549082202539)","(17.13766959297641, 1970.4880287310455)","(2619.2765363128497, 1944.0554668794894)",AD04_d04_apr32,search
"(21.33265617064467, 29.45632300660236)","(2637.3204672422544, 20.558405281869)","(12.434738445911307, 1986.9982224479434)","(2640.286439817166, 1989.9641950228545)",AD04_d05_apr05,search
"(17.634259595153253, 17.27377929333261)","(2616.685264456214, 14.360044982950058)","(17.634259595153253, 1994.2425088877603)","(2625.426467387361, 1965.1051657839369)",AD04_d06_apr30,search
"(16.680911267503234, 56.48265979830239)","(2648.026772110571, 17.698650511499636)","(46.51476456504372, 2027.0086701008493)","(2668.9104694188495, 1980.7661974896614)",AD04_d07_apr23,search
"(6.1961651222757155, 32.50349695635214)","(2689.5450012362976, 22.825052101116853)","(32.8118884741732, 2040.7808044177036)","(2694.3842236639152, 2021.4239147072328)",AD05_D01_apr01,search
"(57.78228797494398, 30.336891123381974)","(2734.0536141102775, 35.21614604796787)","(67.54079782411577, 2038.1502925904556)","(2756.010261270914, 2028.391782741284)",AD05_D02_apr21,search
"(38.22393472348131, 32.88893925657294)","(2728.4324569356295, 15.753853127832826)","(52.91115140525835, 2042.5897552130552)","(2760.254759746146, 2020.55893019039)",AD05_D03_apr23,search
"(87.3871260199453, 32.61591762724993)","(2777.448469934417, 27.760211230292498)","(97.09853881386039, 2038.0226595707102)","(2782.304176331375, 2033.1669531737527)",AD05_D04_apr19,search
"(55.19153194946455, 60.39573889392523)","(2749.0371242538054, 43.095813071787234)","(82.37712966996708, 2067.18713426193)","(2781.16555792349, 2042.4729545160185)",AD05_d05_apr26,search
"(38.76256983240182, 17.512769353551903)","(2684.5726256983235, 33.753790901836055)","(9.233439744612497, 1975.2940941739828)","(2647.661213088587, 1962.0059856344776)",AD06_d01_apr21,search
"(43.517993180004055, 20.90869186679265)","(2700.0049698904445, 43.52350721903804)","(29.9491039686568, 2017.0430602916638)","(2698.497315533628, 2029.1042951461948)",AD06_d015_apr26,search
"(57.37484582456625, 26.912899949212715)","(2693.230610171951, 58.54316912138165)","(9.176340419356961, 1989.49579191758)","(2655.5755278241313, 2028.6570775593123)",AD06_d02_apr19,search
"(39.88598273235107, 19.678770949721184)","(2704.4009649568316, 62.48222447943135)","(38.35728796343278, 2011.5680548501782)","(2686.056627729812, 2054.371508379889)",AD06_d03_apr14,search
"(53.2677211057096, 27.031742001015573)","(2689.9614742799095, 69.3882681564246)","(26.038525720089638, 2002.6611405354424)","(2659.7068127403318, 2052.5813320757456)",AD06_d04_apr30,search
"(34.81868969019774, 7.290756729304121)","(2677.6830878618584, 38.753428136109505)","(15.341797866937213, 1990.9372778059933)","(2667.1955307262565, 2035.8839512442867)",AD06_d06_apr10,search
"(80.90441123122662, 40.00801712254224)","(2729.386599434086, 94.12178045418295)","(31.428970470869785, 2025.2100776318657)","(2689.187803816296, 2068.5010882971783)",AD06_d07_apr13,search
"(33.355510411376144, 16.223209751142804)","(2682.19248349416, 32.64779075672959)","(13.944641950228288, 1982.6934992381923)","(2682.19248349416, 2027.4878110716104)",AD06_d08_apr01,search
"(77.41750707393123, 11.898461873322503)","(2738.550787201625, 75.40277878546067)","(41.129325981280886, 2009.2604295146198)","(2684.1185155626495, 2050.0846332438514)",AD06_d10_apr05,search
"(17.9389465283316, 25.718675179569345)","(2693.1584197924985, 77.54628890662434)","(14.890263367916646, 2030.2278531524344)","(2673.3419792498007, 2043.9469273743018)",AD06_d11_apr06,search
"(60.16730755278206, 37.072371762315925)","(2700.6701008488717, 50.491075963142976)","(15.438293550025037, 1991.7302836827978)","(2681.287528114344, 2012.603823550751)",AD06_d12_apr22,search
"(37.39864325618487, 20.805666400638984)","(2693.104948124502, 44.81205107741471)","(25.395450917797007, 1999.8320031923388)","(2675.10015961692, 2025.338786911413)",AD06_d13_apr16,search
"(40.975259377493785, 19.515961691939538)","(2702.1883479648845, 55.90861931364725)","(39.45889864325591, 1995.333998403831)","(2677.9265762170794, 2036.2757382282523)",AD06_d14_apr23,search
"(45.38424145686702, 7.407712399332922)","(2700.550750925052, 56.070557933686814)","(10.407821229050114, 1998.0222375389976)","(2667.0950446201837, 2029.9572299209176)",AD07_d01_apr10,search
"(61.799898425596666, 19.678770949721184)","(2746.187912646013, 54.83875063484038)","(23.582529202640785, 1993.2237176231592)","(2701.8557643473846, 2074.2445403758256)",AD07_d02_apr16,search
"(52.00206776463767, 17.67209606036431)","(2685.4664804469276, 44.48338532975413)","(26.680294565769486, 2006.1760502067768)","(2678.018900094319, 2024.0502430530366)",AD07_d03_apr01,search
"(77.86058913153875, 7.377530290938012)","(2748.6463396938257, 77.06337517231395)","(24.838750634839926, 2008.5732061234858)","(2689.56486251179, 2069.1695929768557)",AD07_d04_apr23,search
"(68.14993107451176, 16.523869984763678)","(2720.5296742363776, 57.56355655517655)","(19.510302546615094, 1992.508778930567)","(2690.1299064064424, 2027.4685119349926)",AD07_d06_apr04,search
"(43.44652833200303, 16.93016759776583)","(2740.453711093376, 94.74341580207556)","(15.433758978451351, 2024.511971268955)","(2673.534317637669, 2099.2126895450924)",AD07_d07_apr32,search
"(40.2326779365884, 7.320938837698577)","(2684.3116157585437, 56.95381992309376)","(34.21657113835863, 1982.1079953565988)","(2667.7673220634115, 2040.7650366393384)",AD08_d01_apr26,search
