drawing,image,condition,participant,RT,score,response
AD26_d08_apr22,a-pr22,search,AD26,32526,-1,1
AD36_d05_apr16,a-pr16,search,AD36,20147,-1,1
AD32_d02_apr23,a-pr23,search,AD32,43039,na,6
AD33_d03_apr01,a-pr1,search,AD33,26040,-1,1
AD29_d12_apr23,a-pr23,search,AD29,21073,-0.5,2
AD34_d06_apr16,a-pr16,search,AD34,13109,-0.5,2
AD26_d02_apr19,a-pr19,search,AD26,11448,1,5
AD35_d03_apr01,a-pr1,search,AD35,32245,-1,1
AD27_d09_apr06,a-pr6,search,AD27,15500,1,5
AD35_d01_apr10,a-pr10,search,AD35,14217,0,3
AD30_d05_apr01,a-pr1,search,AD30,31028,0,3
AD32_d06_apr01,a-pr1,search,AD32,15208,1,5
AD29_d06_apr32,a-pr32,search,AD29,15585,0,3
AD23_d07_apr05,a-pr5,search,AD23,27915,1,5
AD34_d01_apr22,a-pr22,search,AD34,6786,-1,1
AD25_d07_apr23,a-pr23,search,AD25,23832,na,6
AD29_d09_apr13,a-pr13,search,AD29,11767,na,6
AD29_d03_apr01,a-pr1,search,AD29,14662,-1,1
AD31_d02_apr26,a-pr26,search,AD31,9461,0.5,4
AD33_d02_apr16,a-pr16,search,AD33,8441,0,3
AD26_d05_apr16,a-pr16,search,AD26,14921,0,3
AD33_d04_apr26,a-pr26,search,AD33,6758,0.5,4
AD26_d07_apr06,a-pr6,search,AD26,6526,na,6
AD30_d03_apr10,a-pr10,search,AD30,7969,0,3
AD35_d05_apr06,a-pr6,search,AD35,15108,na,6
AD27_d08_apr01,a-pr1,search,AD27,6813,0,3
AD29_d11_apr10,a-pr10,search,AD29,5391,1,5
AD36_d04_apr05,a-pr5,search,AD36,5774,na,6
AD31_d11_apr14,a-pr14,search,AD31,53391,na,6
AD29_d08_apr16,a-pr16,search,AD29,10909,na,6
AD35_d06_apr26,a-pr26,search,AD35,13222,na,6
AD24_d07_apr30,a-pr30,search,AD24,12606,-1,1
AD28_d01_apr05,a-pr5,search,AD28,8734,na,6
AD31_d10_apr10,a-pr10,search,AD31,12580,na,6
AD24_d05_apr13,a-pr13,search,AD24,12123,na,6
AD30_d01_apr23,a-pr23,search,AD30,18485,na,6
AD30_d07_apr16,a-pr16,search,AD30,11162,-1,1
AD33_d01_apr05,a-pr5,search,AD33,21834,na,6
AD27_d06_apr19,a-pr19,search,AD27,18028,1,5
AD31_d01_apr22,a-pr22,search,AD31,31019,0,3
AD32_d07_apr10,a-pr10,search,AD32,8866,-1,1
AD31_d05_apr19,a-pr19,search,AD31,11214,1,5
AD24_d08_apr10,a-pr10,search,AD24,4385,1,5
AD35_d02_apr13,a-pr13,search,AD35,18881,-1,1
AD31_d06_apr01,a-pr1,search,AD31,21613,0,3
AD30_d06_apr22,a-pr22,search,AD30,15806,na,6
AD25_d02_apr06,a-pr6,search,AD25,8756,na,6
AD27_d07_apr10,a-pr10,search,AD27,10500,0.5,4
AD26_d03_apr04,a-pr4,search,AD26,33734,1,5
AD32_d05_apr32,a-pr32,search,AD32,7484,na,6
AD31_d03_apr13,a-pr13,search,AD31,26463,na,6
AD23_d06_apr13,a-pr13,search,AD23,16132,-1,1
AD27_d02_apr16,a-pr16,search,AD27,10379,0.5,4
AD31_d04_apr05,a-pr5,search,AD31,8963,0,3
AD27_d03_apr13,a-pr13,search,AD27,8630,1,5
AD36_d03_apr32,a-pr32,search,AD36,24119,0.5,4
AD26_d11_apr14,a-pr14,search,AD26,7156,0,3
AD26_d06_apr13,a-pr13,search,AD26,10927,-1,1
AD24_d03_apr26,a-pr26,search,AD24,12967,-1,1
AD26_d10_apr10,a-pr10,search,AD26,14585,0.5,4
AD26_d01_apr01,a-pr1,search,AD26,11454,-1,1
AD24_d02_apr22,a-pr22,search,AD24,16154,0,3
AD34_d05_apr13,a-pr13,search,AD34,11964,-0.5,2
AD30_d10_apr26,a-pr26,search,AD30,11693,na,6
AD29_d04_apr04,a-pr4,search,AD29,9111,0,3
AD26_d04_apr05,a-pr5,search,AD26,9587,0,3
AD27_d05_apr04,a-pr4,search,AD27,32455,1,5
AD30_d08_apr13,a-pr13,search,AD30,4200,na,6
AD34_d07_apr01,a-pr1,search,AD34,5709,na,6
AD28_d05_apr19,a-pr19,search,AD28,2649,0,3
AD36_d01_apr13,a-pr13,search,AD36,7399,0,3
AD24_d09_apr04,a-pr4,search,AD24,8253,-0.5,2
AD27_d04_apr30,a-pr30,search,AD27,7689,na,6
AD29_d02_apr22,a-pr22,search,AD29,8309,1,5
AD26_d09_apr26,a-pr26,search,AD26,5072,0.5,4
AD36_d02_apr01,a-pr1,search,AD36,12269,-0.5,2
AD34_d02_apr14,a-pr14,search,AD34,25451,-0.5,2
AD27_d01_apr21,a-pr21,search,AD27,7575,na,6
AD32_d03_apr21,a-pr21,search,AD32,16699,0.5,4
AD28_d02_apr04,a-pr4,search,AD28,12058,na,6
AD25_d01_apr05,a-pr5,search,AD25,7058,0,3
AD25_d03_apr01,a-pr1,search,AD25,10576,-1,1
AD28_d03_apr22,a-pr22,search,AD28,4803,1,5
AD32_d04_apr26,a-pr26,search,AD32,7816,na,6
AD31_d08_apr06,a-pr6,search,AD31,6264,0.5,4
AD34_d04_apr05,a-pr5,search,AD34,8392,-1,1
AD29_d05_apr21,a-pr21,search,AD29,5393,-1,1
AD28_d04_apr16,a-pr16,search,AD28,11481,na,6
AD30_d12_apr14,a-pr14,search,AD30,4340,-1,1
AD30_d02_apr21,a-pr21,search,AD30,2996,-1,1
AD24_d06_apr01,a-pr1,search,AD24,5803,0,3
