trial,start,end,x,y,mad.x,mad.y,peak.vx,peak.vy,dur,event,participant,image
1,358.2794325,358.4751559,1261,623,2.9652,0.7413,2.5,-1.5,195.7234,fixation,AD01,a-pr19.png
1,358.5051102,358.6751193,1458,605,2.9652,2.9652,2.5,-1.5,170.0091,fixation,AD01,a-pr19.png
1,358.7010851,358.9509953,1605,661,4.4478,1.4826,-2.5,2,249.9102,fixation,AD01,a-pr19.png
1,358.9830018,359.1387689,1636,662,4.4478,1.4826,2.5,1.5,155.7671,fixation,AD01,a-pr19.png
2,368.7423087,369.1003029,1291,654,5.9304,2.9652,2.5,2.5,357.9942,fixation,AD01,a-pr21.png
2,369.1404152,369.3522371,1040,661,7.413,1.4826,2,-1,211.82189999922198,fixation,AD01,a-pr21.png
2,369.4041191,369.6079904,847.5,691,3.7065,2.9652,3.5,2,203.8713,fixation,AD01,a-pr21.png
2,369.6699327,369.8158502,1421,656,4.4478,2.9652,-2.5,1.5,145.9175,fixation,AD01,a-pr21.png
2,369.8398758,370.0286209,1380,643,4.4478,1.4826,2.5,-1.5,188.7451,fixation,AD01,a-pr21.png
2,370.0984967,370.3903324,838,641,2.9652,4.4478,-4.5,-3.5,291.8357,fixation,AD01,a-pr21.png
2,370.4123414,370.5042791,747,629,1.4826,1.4826,2.5,1.5,91.9377,fixation,AD01,a-pr21.png
2,370.5422725,370.6043446,1032,595,1.4826,1.4826,-3.5,1.5,62.0721,fixation,AD01,a-pr21.png
2,370.6563317,370.8721419,1197,574,2.9652,1.4826,3,-2,215.8102,fixation,AD01,a-pr21.png
2,370.9040546,371.047991,1115,634.5,1.4826,6.6717,2.5,3.5,143.93640000048399,fixation,AD01,a-pr21.png
2,371.0819252,371.1587449,1063,716,5.9304,1.4826,2.5,2,76.8197,fixation,AD01,a-pr21.png
2,371.1618004,371.4025731,1060,717,5.9304,1.4826,3,-2.5,240.7727,fixation,AD01,a-pr21.png
2,371.4245835,371.7366951,934,728,4.4478,1.4826,-3.5,-2.5,312.1116,fixation,AD01,a-pr21.png
2,371.7646935,371.9305586,976,697,2.9652,2.9652,-2.5,-3.5,165.8651,fixation,AD01,a-pr21.png
2,371.9566054,372.0605063,948,698,2.9652,2.9652,-1.5,3,103.90089999941699,fixation,AD01,a-pr21.png
2,373.6716129,373.679599,960,694,1.4826,0,-1.5,-1.5,7.986099999698101,fixation,AD01,a-pr21.png
3,381.6496423,381.8395377,1256,628,4.4478,4.4478,-3,-1.5,189.8954,fixation,AD01,a-pr16.png
3,381.8934732,382.0634044,936,676,4.4478,1.4826,3.5,-1.5,169.9312,fixation,AD01,a-pr16.png
3,382.1273136,382.1378212,1694,592,1.4826,1.4826,2.5,1.5,10.5076,fixation,AD01,a-pr16.png
3,382.1413602,382.4152991,1685,596,4.4478,2.9652,-2.5,-2,273.9389,fixation,AD01,a-pr16.png
3,382.4493408,382.4792622,1736,591,5.9304,2.9652,4.5,-2,29.9214,fixation,AD01,a-pr16.png
3,382.5872193,382.8010723,1727,591,7.413,4.4478,4.5,-2.5,213.853,fixation,AD01,a-pr16.png
3,382.8071794,382.8440171,1728,591,5.9304,2.9652,-2.5,-4,36.8377,fixation,AD01,a-pr16.png
3,382.8490751,382.8620435,1717.5,586,1.4826,2.2239,3,1.5,12.968400000545401,fixation,AD01,a-pr16.png
3,382.8650659,382.8899975,1727.5,589,2.9652,3.7065,2.5,-2,24.9316,fixation,AD01,a-pr16.png
3,382.8920251,382.9300034,1722,589,7.413,4.4478,4,-2.5,37.9783,fixation,AD01,a-pr16.png
3,382.9339806,382.9620005,1721.5,591.5,8.1543,2.9652,-3,-1.5,28.0199,fixation,AD01,a-pr16.png
3,382.9680015,382.9819712,1720,587,5.9304,4.4478,-3,-2,13.9697,fixation,AD01,a-pr16.png
4,392.5707684,392.6046423,1229,653,4.4478,1.4826,-3,-1.5,33.8739,fixation,AD01,a-pr5.png
4,392.608638,392.6226639,1237,651,1.4826,1.4826,-2.5,-2.5,14.0259,fixation,AD01,a-pr5.png
4,392.6246912,392.8485553,1228.5,653,6.6717,1.4826,2.5,2.5,223.8641,fixation,AD01,a-pr5.png
4,392.9004717,393.1713018,929,661,2.9652,1.4826,4.5,-2.5,270.8301,fixation,AD01,a-pr5.png
4,393.1912826,393.261227,978,676,1.4826,1.4826,-2,3,69.9444,fixation,AD01,a-pr5.png
4,393.3332429,393.5490841,1654,652,5.9304,1.4826,4,1.5,215.8412,fixation,AD01,a-pr5.png
4,393.5870648,393.9089123,1409,697,2.9652,1.4826,2.5,2,321.8475,fixation,AD01,a-pr5.png
4,393.9588952,394.2991622,1122,711,4.4478,1.4826,2.5,-1.5,340.267,fixation,AD01,a-pr5.png
4,394.3206512,394.578566,1090,699,5.9304,5.9304,2,-2,257.9148,fixation,AD01,a-pr5.png
4,394.5825115,394.7204146,1092,697,2.9652,4.4478,-3.5,-3,137.9031,fixation,AD01,a-pr5.png
4,394.7244827,394.9869714,1092,695,2.9652,4.4478,-2.5,-3,262.4887,fixation,AD01,a-pr5.png
5,404.5760249,404.8198482,1293,641,4.4478,1.4826,-1.5,2.5,243.8233,fixation,AD01,a-pr30.png
5,404.8538744,404.8717808,1037,630,5.9304,1.4826,-3.5,2,17.9064,fixation,AD01,a-pr30.png
5,404.8757884,405.0503025,1033,631,2.9652,2.9652,-2,-2,174.5141,fixation,AD01,a-pr30.png
5,405.0723492,405.3761419,895,636.5,2.9652,3.7065,3.5,-1.5,303.7927,fixation,AD01,a-pr30.png
5,405.3922045,406.1097841,848,621,8.8956,2.9652,3.5,-3,717.5796,fixation,AD01,a-pr30.png
6,415.6977194,415.963622,1264,703,1.4826,1.4826,-1.5,2.5,265.9026,fixation,AD01,a-pr26.png
6,415.9996225,416.2914723,1046,708,2.9652,2.9652,-3,-2.5,291.8498,fixation,AD01,a-pr26.png
6,416.3135446,416.6392728,1092,698,2.9652,2.9652,-2.5,2.5,325.7282,fixation,AD01,a-pr26.png
7,426.2305421,426.4690493,1278,656,2.9652,1.4826,-3,-2.5,238.5072,fixation,AD01,a-pr13.png
7,426.5010754,426.6609204,1143,662,2.9652,1.4826,-2.5,-2,159.845,fixation,AD01,a-pr13.png
7,426.7189042,427.0606888,872,662,2.9652,1.4826,2,-2,341.7846,fixation,AD01,a-pr13.png
7,427.0826682,427.2345858,836,661,2.9652,1.4826,3,-1.5,151.9176,fixation,AD01,a-pr13.png
7,427.2605129,427.6243966,759.5,642,3.7065,2.9652,2,-2,363.8837,fixation,AD01,a-pr13.png
7,427.6691365,428.043027,1055,653,7.413,1.4826,3,2,373.89049999978903,fixation,AD01,a-pr13.png
