image_name,object_name,img_cx,img_cy,img_rx,img_ry,isTarget,isAnchor,identity
a-pr1,shears1,248.5,721,73.5,46,0,0,nonspecific
a-pr1,glove1,290.5,729.5,38.5,20.5,0,0,nonspecific
a-pr1,toolbox1,171,685,70,62,0,0,nonspecific
a-pr1,rosebush1,182.5,574,75.5,120,0,0,nonspecific
a-pr1,fence1,128.5,516.5,127.5,291.5,0,0,nonspecific
a-pr1,hose1,354.5,552.5,72.5,71.5,0,0,nonspecific
a-pr1,chair1,473.5,581.5,80.5,109.5,0,0,nonspecific
a-pr1,chair2,489.5,521.5,70.5,93.5,0,0,nonspecific
a-pr1,table1,579,566,104,91,0,0,nonspecific
a-pr1,chair3,670.5,565.5,75.5,104.5,0,0,nonspecific
a-pr1,chair4,672,515,64,90,0,0,nonspecific
a-pr1,cups1,540.5,486.5,14.5,27.5,0,0,nonspecific
a-pr1,cup1,602,478.5,14,20.5,0,0,nonspecific
a-pr1,cup2,628,489.5,15,21.5,0,0,nonspecific
a-pr1,grill1,932,485.5,152,119.5,0,1,anchor
a-pr1,tongs1,796,465,14,33,1,0,target
a-pr1,door1,1181.5,383.5,98.5,186.5,0,0,nonspecific
a-pr1,sandbox1,1097.5,772.5,181.5,99.5,0,0,nonspecific
a-pr1,doorknob1,1121,410,10,23,0,0,nonspecific
a-pr1,toyshovel1,1061.5,699.5,35.5,33.5,0,0,nonspecific
a-pr1,toybucket1,1131,745.5,54,37.5,0,0,nonspecific
a-pr1,toytruck1,1233,730.5,39,29.5,0,0,nonspecific
a-pr10,box1,840.5,520.5,19.5,8.5,0,0,nonspecific
a-pr10,plant1,730.5,495,64.5,31,0,0,nonspecific
a-pr10,plant2,919.5,498.5,31.5,34.5,0,0,nonspecific
a-pr10,book1,53.5,650.5,28.5,9.5,0,0,nonspecific
a-pr10,books1,54,618,50,21,0,0,nonspecific
a-pr10,lamp1,29.5,588.5,28.5,50.5,0,0,nonspecific
a-pr10,pillow1,276.5,545.5,59.5,24.5,1,0,target
a-pr10,rug1,411.5,735.5,353.5,101.5,0,0,nonspecific
a-pr10,bed1,370.5,619.5,288.5,170.5,0,1,anchor
a-pr10,pictureframe1,470,557,22,22,0,0,nonspecific
a-pr10,lamp2,438,550,24,32,0,0,nonspecific
a-pr10,nightstand1,61,671,58,77,0,0,nonspecific
a-pr10,armchair1,871.5,620.5,82.5,89.5,0,0,nonspecific
a-pr10,window1,790.5,409,201.5,135,0,0,nonspecific
a-pr10,wardrobe1,1143.5,531,135.5,253,0,0,nonspecific
a-pr13,bench1,528,664.5,93,93.5,0,0,nonspecific
a-pr13,picnictable1,371.5,624.5,153.5,112.5,0,0,nonspecific
a-pr13,pot1,338,557.5,42,35.5,0,0,nonspecific
a-pr13,cooler1,420.5,511,62.5,60,0,0,nonspecific
a-pr13,coals1,58.5,575,50.5,27,1,0,target
a-pr13,firepit1,154,527,96,61,0,1,anchor
a-pr13,bench2,254.5,628,131.5,89,0,0,nonspecific
a-pr13,campchair1,60,476.5,59,67.5,0,0,nonspecific
a-pr13,campchair2,211,459,53,60,0,0,nonspecific
a-pr13,guitar1,209,464.5,23,54.5,0,0,nonspecific
a-pr13,campinggear1,482,462.5,28,22.5,0,0,nonspecific
a-pr13,tent1,329,443,143,51,0,0,nonspecific
a-pr13,tent2,622.5,409,78.5,49,0,0,nonspecific
a-pr13,campinggear2,639.5,440.5,28.5,29.5,0,0,nonspecific
a-pr13,sleepingbag1,657.5,481.5,83.5,15.5,0,0,nonspecific
a-pr13,sleepingpad1,660.5,492,101.5,16,0,0,nonspecific
a-pr13,tent3,832,414.5,87,52.5,0,0,nonspecific
a-pr13,lantern1,838.5,454,10.5,13,0,0,nonspecific
a-pr13,washtub1,895,465.5,31,13.5,0,0,nonspecific
a-pr13,handax1,785.5,508,30.5,22,0,0,nonspecific
a-pr13,log1,802,554,31,45,0,0,nonspecific
a-pr13,truck1,1107.5,518,171.5,190,0,0,nonspecific
a-pr13,tree1,206,211,114,210,0,0,nonspecific
a-pr13,tree2,438,250,101,141,0,0,nonspecific
a-pr13,tree3,692,250.5,89,123.5,0,0,nonspecific
a-pr13,tree4,792,248,65,111,0,0,nonspecific
a-pr13,tree5,995.5,181.5,192.5,180.5,0,0,nonspecific
a-pr14,window1,296.5,371,96.5,150,0,0,nonspecific
a-pr14,projectorscreen1,665,319.5,131,138.5,0,0,nonspecific
a-pr14,clock1,538.5,277,16.5,31,0,0,nonspecific
a-pr14,chalkboard1,959.5,542.5,317.5,415.5,0,1,anchor
a-pr14,chalk1,1127.5,581.5,29.5,12.5,1,0,target
a-pr14,projector1,272.5,508,75.5,82,0,0,nonspecific
a-pr14,window2,14,361,12,158,0,0,nonspecific
a-pr14,cart1,283,665.5,103,115.5,0,0,nonspecific
a-pr14,chairs1,47.5,686,46.5,122,0,0,nonspecific
a-pr14,chair1,58,892,57,56,0,0,nonspecific
a-pr14,tables1,310.5,748.5,275.5,207.5,0,0,nonspecific
a-pr14,table1,243,635.5,101,88.5,0,0,nonspecific
a-pr14,backpack1,91.5,505,44.5,55,0,0,nonspecific
a-pr14,chair2,333,625.5,53,83.5,0,0,nonspecific
a-pr14,backpack2,198.5,641,131.5,74,0,0,nonspecific
a-pr16,window1,656,272,286,168,0,0,nonspecific
a-pr16,door1,333,402.5,66,249.5,0,0,nonspecific
a-pr16,cabinet1,197.5,647.5,189.5,192.5,0,0,nonspecific
a-pr16,flower1,113.5,446,36.5,84,0,0,nonspecific
a-pr16,dishes1,223,464,81,43,0,0,nonspecific
a-pr16,chair1,565,545.5,54,95.5,0,0,nonspecific
a-pr16,chair2,722,572,56,98,0,0,nonspecific
a-pr16,chair3,890.5,559.5,53.5,100.5,0,0,nonspecific
a-pr16,plate1,847.5,477,35.5,12,0,0,nonspecific
a-pr16,glass1,800.5,459,11.5,18,0,0,nonspecific
a-pr16,plate2,612,467.5,29,7.5,0,0,nonspecific
a-pr16,glass2,641,463,12,17,0,0,nonspecific
a-pr16,knife1,605,476.5,23,3.5,0,0,nonspecific
a-pr16,plate3,724.5,481.5,34.5,9.5,0,0,nonspecific
a-pr16,glass3,761.5,464,13.5,18,0,0,nonspecific
a-pr16,table1,720.5,559,177.5,110,0,0,nonspecific
a-pr16,firetools1,1173,714.5,67,112.5,1,0,target
a-pr16,fireplace1,1120.5,586,90.5,186,0,1,anchor
a-pr19,shoerack1,658,802.5,140,154.5,0,0,nonspecific
a-pr19,staircase1,349,397.5,344,396.5,0,0,nonspecific
a-pr19,tree1,540,507,70,141,0,0,nonspecific
a-pr19,door1,796.5,388.5,148.5,291.5,0,0,nonspecific
a-pr19,doorknob1,708,424,15,36,0,0,nonspecific
a-pr19,coatrack1,1011,249.5,93,33.5,0,0,nonspecific
a-pr19,umbrellastand1,1009,642,67,99,0,1,anchor
a-pr19,umbrella1,1054.5,583,49.5,121,1,0,target
a-pr21,exercisebikes1,354,661.5,355,296.5,0,0,nonspecific
a-pr21,weights1,295.5,465,65.5,73,1,0,target
a-pr21,waterbottle1,45,621.5,22,35.5,0,0,nonspecific
a-pr21,exercisemachine1,61,442,59,201,0,0,nonspecific
a-pr21,squatrack1,112,384,106,169,0,1,anchor
